gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,32,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1755,4,19.1205,flydsl_hgemm_abf16_wbf16_bf16_t32x96x64x5_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0133,144.34,4554.75
gfx950,256,48,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3277,4,20.9374,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x7_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0136,197.72,4179.65
gfx950,256,64,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3289,4,22.3822,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x5_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0137,246.61,3928.7
gfx950,256,80,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2919,4,24.3893,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0138,282.9,3622.69
gfx950,256,96,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3111,4,26.1259,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x5_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0138,316.91,3398.03
gfx950,256,112,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,581,4,28.6974,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0138,336.6,3108.25
gfx950,256,128,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,581,4,30.4714,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0139,362.29,2941.13
gfx950,256,192,6016,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2014,2,37.5001,flydsl_hgemm_abf16_wbf16_bf16_t96x96x64x5_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0062,441.58,2434.87
gfx950,256,1,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,212,1,16.5598,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,5.32,5320.54
gfx950,256,2,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,213,1,16.8879,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.005,10.43,5218.74
